Product Code,Manufacturer,On Hand
VVCGY00-000,CARLING TECH,4
L26B1CDD1-3AAEK-1XX-XWD2,CARLING TECH,5
LLDZZ00-000,CARLING TECH,5
LL3AZ4P-1XX,CARLING TECH,6
VB1-01,CARLING TECH,6
VGDJS00B-00000-000,CARLING TECH,6
AB2-B0-34-615-3B1-C,CARLING TECH,13
865-71892-001,CARLING TECH,14
L11B1XDD1-3AAEK-1XX-XAD1,CARLING TECH,14
VJD1DHHW-00000-000,CARLING TECH,14
AB2-B0-34-620-3B1-C,CARLING TECH,15
L11B1XDD1-3AAEK-1XX-XEX1,CARLING TECH,15
L14B1XDD1-3AAEK-1XX-XNF1,CARLING TECH,15
AB2-B0-34-630-3B1-C,CARLING TECH,28
P27L-RD,CARLING TECH,28
AA1-B0-34-630-3B1-C,CARLING TECH,29
VVABC00-000,CARLING TECH,29
AA1-B0-34-625-3B1-C,CARLING TECH,30
AA1-B0-34-425-3B1-C,CARLING TECH,33
P26L-1D-RND-MTL,CARLING TECH,33
V2D2A60B-ARCXX-000,CARLING TECH,37
L12D1C661-00000-000,CARLING TECH,41
P27A-RD,CARLING TECH,43
